"id_job","duration","required_work_experience","job_type","salary_period","salary","position_name","latitude","longitude","applied"
"c228f854a214gb8c1g4c1fg638dgf174ad01","PERMANENT","1-2 Years","FULL_TIME","","","Cantonese Call center Rep",40.802310943603516,-73.919540405273438,40
"154788879b2fgacc0g465cg67e4g1fae801c","PERMANENT","1-2 Years","FULL_TIME","HOUR",13,"Security officer",40.753711700439453,-73.986686706542969,40
"2570f0d5317ag9429g41dagc5d5g958e45a4","PERMANENT","No","FULL_TIME","MONTH",1638,"Anything You Can Think Of",40.848773956298828,-73.9320068359375,40
"d7d87dfeaaf4ga6f6g4458g0597g10d8c595","TEMPORAL","1-2 Years","PART_TIME","HOUR",14,"Office Manager",40.844875335693359,-73.890464782714844,40
"eb343cd82366gbf19g42e7g8ca2g13c795fb","PERMANENT","1-2 Years","FULL_TIME","HOUR",15,"Shift Supervisor",40.748542785644531,-73.985755920410156,40
"017d513f01a0gaabfg4bf6g7a5bg2b7ae286","PERMANENT","1-2 Years","FULL_TIME","","","Cashier",40.844783782958984,-73.864830017089844,39
"9ea0d1f4cb40g91deg459bg81eag21e49d49","PERMANENT","+3 Years","FULL_TIME","","","Junior designer intermeadiate",40.737289428710938,-73.997383117675781,39
"6f164be21af9gae0eg4a4bg33a6g861fd7ba","","No","NONE","","","Dishwasher/Porter",40.745883941650391,-74.001434326171875,39
"72917d5cb6dcg9c76g4a84g1f95gb5b8624a","PERMANENT","1-2 Years","PART_TIME","HOUR",14.5,"Dog Walker & Pet Sitter",40.707565307617188,-74.009674072265625,39
"97b5fea3b2cag9b63g406eg112fgc8a58128","TEMPORAL","1-2 Years","PART_TIME","HOUR",13.5,"Server & wait staff",40.7250862121582,-73.992691040039062,39
"405988145965gaea7g4d81gc6deg24220b24","NONE","No","NONE","","","Front desk & receptionist",40.689228057861328,-73.983589172363281,38
"bf512071a7bag9229g4382gcba0g8a2ce509","PERMANENT","1-2 Years","FULL_TIME","","","Hostess",40.770336151123047,-73.907485961914062,38
"d1b3e7bbc98dgb49bg45fag5654g9d000e0d","PERMANENT","No","FULL_TIME","","","Busser",40.746208190917969,-73.978103637695312,38
"4b54a55fc223ga181g4a9bg0dfdg7eddf265","PERMANENT","1-2 Years","FULL_TIME","","","Receptionist",40.7261848449707,-73.952377319335938,38
"938dfe10ca9fgb12bg4c19g8623gca4221df","PERMANENT","No","FULL_TIME","","","Barista associate",40.751213073730469,-73.992225646972656,38
"a0473b7a1157gaaa7g434dg05b9gbf29847a","PERMANENT","No","FULL_TIME","","","Server & wait staff",40.495853424072266,-74.4437026977539,38
"a0f117f636cag82b2g485cg6fa5g5a441caa","PERMANENT","No","FULL_TIME","","","Backroom Processor",40.918186187744141,-73.055099487304688,38
"90c41c8f0559gaae1g40acgea71gc14e4f29","PERMANENT","1-2 Years","FULL_TIME","HOUR",13,"Home health aide (HHA)",40.817039489746094,-73.920280456542969,38
"d5b97302f1cagaa43g4b53gfd23g5b74881e","PERMANENT","No","FULL_TIME","HOUR",10,"Security guard",40.732982635498047,-74.071136474609375,38
"1bab8de8c8fcg82bcg48b7g48f3g8aa9d409","PERMANENT","1-2 Years","FULL_TIME","","","Front desk & receptionist",40.592750549316406,-73.947837829589844,37
"489d92f71e5cgbb29g4c1fg3976g378f9574","PERMANENT","1-2 Years","FULL_TIME","","","Stock person",40.678176879882812,-73.944160461425781,37
"627ff5f9f456g8584g48d0gc03eg62e6e258","","No","NONE","","","Pastry Helper",40.803215026855469,-73.9140853881836,37
"db9469db1bedg93c5g43beg32d0g23f24490","PERMANENT","No","FULL_TIME","","","Telemarketer",40.719501495361328,-73.843635559082031,37
